1751171990.24, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
1751171990.25, 14.03, 15.58, -6.01, 1.01, -5.69, -0.04
1751171990.25, 8.87, 21.89, -3.33, 1.44, -7.14, -0.06
1751171990.26, -1.18, -0.27, 0.12, 1.53, -8.35, -0.05
1751171990.27, -0.98, -0.44, 1.95, 1.57, -9.06, -0.02
1751171990.27, -0.98, -0.51, 0.12, 1.68, -9.59, -0.02
1751171990.28, -0.80, -0.34, 0.13, 1.73, -9.93, -0.01
1751171990.29, -0.84, -0.30, 0.22, 1.78, -10.24, -0.01
1751171990.29, -0.82, -0.28, 0.08, 1.84, -10.53, -0.01
1751171990.30, -1.05, -0.31, 0.08, 1.89, -10.79, -0.01
1751171990.31, -0.88, -0.25, 0.10, 1.92, -11.03, -0.00
1751171990.31, -0.92, -0.29, 0.16, 1.94, -11.18, -0.00
1751171990.32, -0.90, -0.12, 0.18, 2.00, -11.31, 0.00
1751171990.33, -0.92, -0.23, 0.06, 2.07, -11.44, 0.00
1751171990.33, -0.91, -0.23, 0.09, 2.09, -11.57, 0.00
1751171990.34, -0.92, -0.53, 0.20, 2.10, -11.67, 0.00
1751171990.35, -0.87, -0.19, 0.09, 2.06, -11.76, 0.01
1751171990.35, -1.02, -0.08, 0.27, 2.10, -11.85, 0.01
1751171990.36, -0.95, -0.11, 0.24, 2.12, -12.00, 0.01
1751171990.37, -0.76, -0.31, 0.19, 2.01, -12.06, 0.01
1751171990.37, -0.87, -0.08, 0.23, 2.02, -12.13, 0.01
1751171990.38, -0.92, -0.09, 0.17, 2.05, -12.19, 0.01
1751171990.39, -0.82, -0.05, 0.18, 2.12, -12.18, 0.01
1751171990.39, -1.03, -0.24, 0.25, 2.15, -12.23, 0.01
1751171990.40, -1.05, 1.91, 0.14, 2.17, -12.22, 0.01
1751171990.41, -0.99, -0.30, 0.27, 2.14, -12.23, 0.01
1751171990.41, -0.94, -0.45, 0.25, 2.16, -12.27, 0.01
1751171990.42, -1.03, -0.38, 0.27, 2.18, -12.31, 0.01
1751171990.43, -0.97, -0.37, 0.13, 2.16, -12.21, 0.01
1751171990.43, -0.99, -0.21, 0.35, 2.16, -12.19, 0.01
1751171990.44, -0.77, -0.40, 0.19, 2.18, -12.23, 0.01
1751171990.45, -0.93, -0.27, 0.29, 2.17, -12.24, 0.01
1751171990.45, -0.92, -0.18, 0.30, 2.15, -12.25, 0.01
1751171990.46, -1.01, -0.38, 0.24, 2.16, -12.27, 0.01
1751171990.47, -0.87, -0.08, 0.18, 2.16, -12.28, 0.01
1751171990.47, -0.85, -0.17, 0.28, 2.18, -12.24, 0.01
1751171990.48, -0.89, -0.14, -1.91, 2.19, -12.20, -0.00
1751171990.49, -0.98, -0.15, 0.11, 2.19, -12.19, -0.00
1751171990.49, -0.99, -0.08, 0.18, 2.22, -12.17, 0.00
1751171990.50, -0.79, -0.15, 0.39, 2.21, -12.16, 0.00
1751171990.50, -0.82, -0.36, 0.18, 2.21, -12.18, 0.00
1751171990.51, -0.89, -0.27, 0.17, 2.21, -12.18, 0.00
1751171990.52, -0.88, -0.39, 0.17, 2.21, -12.15, 0.00
