1751166759.52, 0.00, 0.00, 0.00, 0.00
1751166759.55, -0.81, -0.53, 1.21, -2.73
1751166759.57, -1.13, -0.37, 1.53, -3.95
1751166759.60, -0.85, -0.66, 1.79, -4.72
1751166759.63, -0.82, -0.42, 2.02, -5.32
1751166759.66, -0.86, 1.95, 2.39, -5.68
1751166759.68, -0.71, -0.91, 2.44, -5.95
1751166759.71, -0.91, -0.34, 2.51, -6.13
1751166759.74, -0.79, -0.28, 2.54, -6.19
1751166759.76, -0.69, -0.77, 2.63, -6.21
1751166759.79, -0.53, -0.05, 2.58, -6.25
1751166759.82, -1.11, 0.21, 2.51, -6.25
1751166759.85, -0.69, -0.43, 2.53, -6.56
1751166759.87, -0.76, -0.92, 2.54, -6.53
1751166759.90, -0.73, -0.36, 2.64, -6.48
1751166759.93, -1.01, -0.20, 2.63, -6.48
1751166759.96, -0.73, -0.36, 2.58, -6.44
1751166760.00, -0.84, -0.40, 2.57, -6.39
1751166760.02, -0.81, -0.38, 2.63, -6.41
1751166760.05, -0.87, -0.25, 2.61, -6.37
1751166760.08, -0.74, -1.13, 2.57, -6.14
1751166760.11, -0.78, -0.63, 2.59, -6.14
1751166760.14, -0.68, -0.76, 2.59, -6.14
1751166760.17, -0.95, -0.15, 2.61, -6.07
1751166760.19, -0.85, 1.93, 2.60, -6.03
1751166760.22, -0.94, -0.20, 2.58, -6.05
1751166760.25, -1.02, -0.47, 2.61, -6.08
1751166760.28, -0.64, -0.43, 2.62, -6.07
1751166760.31, -0.79, -0.58, 2.63, -6.09
1751166760.33, -1.05, -0.13, 2.60, -6.07
1751166760.36, -0.94, -0.14, 2.62, -6.03
1751166760.39, -0.85, -1.94, 2.57, -6.10
1751166760.42, -0.95, -0.16, 2.59, -6.07
1751166760.45, -0.83, -0.21, 2.58, -6.09
1751166760.48, -0.92, -0.06, 2.55, -6.11
1751166760.51, -0.82, -0.60, 2.56, -6.11
1751166760.54, -0.70, -0.64, 2.55, -6.11
